Filename,Predictions
depth_1\23499035_106_acoustic_R1.png,depth_1
depth_1\23499035_106_acoustic_R2.png,depth_1
depth_1\23499035_178_acoustic_R1.png,depth_1
depth_1\23499035_178_acoustic_R2.png,depth_1
depth_1\23499035_78_acoustic_R1.png,depth_1
depth_1\23499035_78_acoustic_R2.png,depth_1
depth_1\23499255_104_acoustic_R1.png,depth_1
depth_1\23499255_104_acoustic_R2.png,depth_1
depth_1\23499255_143_acoustic_R1.png,depth_1
depth_1\23499255_143_acoustic_R2.png,depth_1
depth_1\23499255_71_acoustic_R1.png,depth_1
depth_1\23499255_71_acoustic_R2.png,depth_1
depth_1\23499420_103_acoustic_R1.png,depth_1
depth_1\23499420_103_acoustic_R2.png,depth_1
depth_1\23499420_142_acoustic_R1.png,depth_1
depth_1\23499420_142_acoustic_R2.png,depth_1
depth_1\23499420_78_acoustic_R1.png,depth_1
depth_1\23499420_78_acoustic_R2.png,depth_1
depth_1\23499563_100_acoustic_R1.png,depth_1
depth_1\23499563_100_acoustic_R2.png,depth_1
depth_1\23499563_162_acoustic_R1.png,depth_1
depth_1\23499563_162_acoustic_R2.png,depth_1
depth_1\23499563_204_acoustic_R1.png,depth_1
depth_1\23499563_204_acoustic_R2.png,depth_1
depth_1\23499827_104_acoustic_R1.png,depth_1
depth_1\23499827_104_acoustic_R2.png,depth_1
depth_1\23499827_46_acoustic_R1.png,depth_1
depth_1\23499827_46_acoustic_R2.png,depth_1
depth_1\23499827_79_acoustic_R1.png,depth_1
depth_1\23499827_79_acoustic_R2.png,depth_1
depth_1\23499849_33_acoustic_R1.png,depth_1
depth_1\23499849_33_acoustic_R2.png,depth_1
depth_1\23499849_59_acoustic_R1.png,depth_1
depth_1\23499849_59_acoustic_R2.png,depth_1
depth_1\23499849_80_acoustic_R1.png,depth_1
depth_1\23499849_80_acoustic_R2.png,depth_1
depth_1\25652840_105_acoustic_R1.png,depth_1
depth_1\25652840_105_acoustic_R2.png,depth_1
depth_1\25652840_144_acoustic_R1.png,depth_1
depth_1\25652840_144_acoustic_R2.png,depth_1
depth_1\25652840_74_acoustic_R1.png,depth_1
depth_1\25652840_74_acoustic_R2.png,depth_1
depth_1\25652917_105_acoustic_R1.png,depth_1
depth_1\25652917_105_acoustic_R2.png,depth_1
depth_1\25652917_144_acoustic_R1.png,depth_1
depth_1\25652917_144_acoustic_R2.png,depth_1
depth_1\25652917_89_acoustic_R1.png,depth_1
depth_1\25652917_89_acoustic_R2.png,depth_1
depth_1\25653280_105_acoustic_R1.png,depth_1
depth_1\25653280_105_acoustic_R2.png,depth_1
depth_1\25653280_71_acoustic_R1.png,depth_1
depth_1\25653280_71_acoustic_R2.png,depth_1
depth_1\25653280_92_acoustic_R1.png,depth_1
depth_1\25653280_92_acoustic_R2.png,depth_1
depth_1\25653346_18_acoustic_R1.png,depth_2
depth_1\25653346_18_acoustic_R2.png,depth_1
depth_1\25653346_32_acoustic_R1.png,depth_2
depth_1\25653346_32_acoustic_R2.png,depth_1
depth_1\25653346_45_acoustic_R1.png,depth_2
depth_1\25653346_45_acoustic_R2.png,depth_1
depth_1\25653357_111_acoustic_R1.png,depth_1
depth_1\25653357_111_acoustic_R2.png,depth_1
depth_1\25653357_139_acoustic_R1.png,depth_1
depth_1\25653357_139_acoustic_R2.png,depth_1
depth_1\25653357_85_acoustic_R1.png,depth_2
depth_1\25653357_85_acoustic_R2.png,depth_1
depth_1\25653423_103_acoustic_R1.png,depth_1
depth_1\25653423_103_acoustic_R2.png,depth_1
depth_1\25653423_157_acoustic_R1.png,depth_2
depth_1\25653423_157_acoustic_R2.png,depth_1
depth_1\25653423_74_acoustic_R1.png,depth_1
depth_1\25653423_74_acoustic_R2.png,depth_1
depth_1\25653456_109_acoustic_R1.png,depth_1
